Cre01.g004600.t1.1       jgi|Chlre3|195917        XM_001702081             jgi|Chlre4|195917        Cre01.g004600.t1.2       au5.g1062_t1             Au9.Cre01.g004600.t1     Cre01.g004600.t1.3       
Cre03.g193900.t1.2       jgi|Chlre3|147364        XM_001693058             jgi|Chlre4|147364        Cre03.g193900.t1.1       au5.g11022_t1            Au9.Cre03.g193900.t1     Cre03.g193900.t1.2       
Cre03.g194950.t1.1       jgi|Chlre3|190458        XM_001693223             jgi|Chlre4|190458        Cre03.g194950.t1.1       au5.g11043_t1            Au9.Cre03.g194950.t1     Cre03.g194950.t1.1       
Cre03.g197350.t1.2       jgi|Chlre3|129649        XM_001693244             jgi|Chlre4|377865        Cre03.g197350.t1.1       au5.g11086_t1            Au9.Cre03.g197350.t1     Cre03.g197350.t1.2       
Cre04.g212050.t1.1       jgi|Chlre3|181226        XM_001701559             --                       Cre04.g212050.t1.2       au5.g11513_t1            Au9.Cre04.g212050.t1     Cre04.g212050.t1.3       
Cre04.g226400.t1.2       jgi|Chlre3|189471        XM_001692171             jgi|Chlre4|189471        Cre04.g226400.t1.1       au5.g11807_t1            Au9.Cre04.g226400.t1     Cre04.g226400.t1.2       
Cre04.g231124.t1.1       jgi|Chlre3|22211         XM_001703641             jgi|Chlre4|22211         Cre32.g781700.t1.1       au5.g11410_t1            Au9.Cre32.g781700.t1     g5048.t1                 
Cre04.g233302.t1.1       jgi|Chlre3|195154        XM_001703631             jgi|Chlre4|348246        Cre32.g780750.t1.1       au5.g11390_t1            Au9.Cre32.g780750.t1     g5071.t1                 
Cre05.g233551.t1.1       jgi|Chlre3|108149        XM_001702161             jgi|Chlre4|108149        Cre05.g233500.t1.1       au5.g12013_t1            Au9.Cre05.g233500.t1     Cre05.g233500.t1.2       
Cre05.g240600.t1.1       jgi|Chlre3|17550         XM_001697652             jgi|Chlre4|17550         Cre05.g240600.t1.2       au5.g12157_t1            Au9.Cre05.g240600.t1     Cre05.g240600.t1.3       
Cre05.g240650.t1.2       jgi|Chlre3|17550         XM_001697652             jgi|Chlre4|17550         Cre05.g240650.t1.1       au5.g12158_t1            Au9.Cre05.g240650.t1     Cre05.g240650.t1.2       
Cre05.g241634.t1.1       jgi|Chlre3|180819        XM_001691089             jgi|Chlre4|180819        Cre24.g770550.t1.2       au5.g9942_t1             Au9.Cre24.g770550.t1     g5329.t1                 
Cre05.g242600.t1.2       jgi|Chlre3|187360        XM_001700854             jgi|Chlre4|187360        Cre05.g242600.t1.1       au5.g12196_t1            Au9.Cre05.g242600.t1     Cre05.g242600.t1.2       
Cre05.g242650.t1.1       jgi|Chlre3|187360        XM_001700854             jgi|Chlre4|187360        Cre05.g242650.t1.2       au5.g12197_t1            Au9.Cre05.g242650.t1     Cre05.g242650.t1.3       
Cre05.g247000.t1.2       jgi|Chlre3|187405        XM_001700885             jgi|Chlre4|187405        Cre05.g247000.t1.1       au5.g12282_t1            Au9.Cre05.g247000.t1     Cre05.g247000.t1.2       
Cre06.g249050.t1.1       jgi|Chlre3|142507        XM_001696618             jgi|Chlre4|142507        Cre06.g249050.t1.2       au5.g12377_t1            Au9.Cre06.g249050.t1     Cre06.g249050.t1.3       
Cre06.g250950.t1.2       jgi|Chlre3|142476        XM_001696367             jgi|Chlre4|142476        Cre06.g250950.t1.1       au5.g12414_t1            Au9.Cre06.g250950.t1     Cre06.g250950.t1.2       
Cre06.g261450.t1.2       jgi|Chlre3|142283        XM_001696267             jgi|Chlre4|142283        Cre06.g261450.t1.1       au5.g12625_t1            Au9.Cre06.g261450.t1     Cre06.g261450.t1.2       
Cre06.g268600.t1.2       jgi|Chlre3|126810        XM_001696466             jgi|Chlre4|126810        Cre06.g268600.t1.1       au5.g12769_t1            Au9.Cre06.g268600.t1     Cre06.g268600.t1.2       
Cre06.g275350.t1.1       jgi|Chlre3|112628        XM_001696395             jgi|Chlre4|417038        Cre06.g275350.t1.2       au5.g12905_t1            Au9.Cre06.g275350.t1     Cre06.g275350.t1.3       
Cre06.g278136.t1.1       jgi|Chlre3|105687        XM_001698047             jgi|Chlre4|105687        Cre13.g595300.t1.1       au5.g4968_t1             Au9.Cre13.g595300.t1     g6281.t1                 
Cre06.g278159.t1.1       jgi|Chlre3|159133        XM_001698040             jgi|Chlre4|159133        Cre13.g596300.t1.1       au5.g4988_t1             Au9.Cre13.g596300.t1     g6302.t1                 
Cre06.g291500.t1.2       jgi|Chlre3|195860        XM_001695477             jgi|Chlre4|195860        Cre06.g291500.t1.1       au5.g13227_t1            Au9.Cre06.g291500.t1     Cre06.g291500.t1.2       
Cre06.g292650.t1.1       jgi|Chlre3|153922        XM_001701554             jgi|Chlre4|153922        Cre06.g292650.t1.2       au5.g13250_t1            Au9.Cre06.g292650.t1     Cre06.g292650.t1.3       
Cre06.g293750.t1.2       jgi|Chlre3|194555        XM_001701514             --                       Cre06.g293750.t1.1       au5.g13272_t1            Au9.Cre06.g293750.t1     Cre06.g293750.t2.1       
Cre06.g293750.t2.1       jgi|Chlre3|194555        XM_001701514             --                       Cre06.g293750.t1.1       au5.g13272_t1            Au9.Cre06.g293750.t1     Cre06.g293750.t1.2       
Cre06.g297150.t1.1       jgi|Chlre3|195840        XM_001691264             --                       Cre06.g297150.t1.2       au5.g13339_t1            Au9.Cre06.g297150.t1     Cre06.g297150.t1.3       
Cre06.g310500.t1.2       jgi|Chlre3|169967        XM_001691143             jgi|Chlre4|169967        Cre06.g310500.t1.1       au5.g13606_t1            Au9.Cre06.g310500.t1     Cre06.g310500.t1.2       
Cre06.g310550.t1.2       jgi|Chlre3|169967        XM_001691143             jgi|Chlre4|169967        Cre06.g310550.t1.1       au5.g13607_t1            Au9.Cre06.g310550.t1     Cre06.g310550.t1.2       
Cre07.g316600.t1.2       jgi|Chlre3|142718        XM_001700938             jgi|Chlre4|142718        Cre07.g316600.t1.1       au5.g13766_t1            Au9.Cre07.g316600.t1     Cre07.g316600.t1.2       
Cre07.g319701.t1.2       jgi|Chlre3|127044        XM_001700972             jgi|Chlre4|127044        Cre07.g319700.t1.2       au5.g13829_t1            Au9.Cre07.g319700.t1     g7394.t1                 
Cre07.g321200.t1.2       jgi|Chlre3|142793        XM_001700987             jgi|Chlre4|142793        Cre07.g321200.t1.1       au5.g13858_t1            Au9.Cre07.g321200.t1     Cre07.g321200.t2.1       
Cre07.g321200.t2.1       jgi|Chlre3|142793        XM_001700987             jgi|Chlre4|142793        Cre07.g321200.t1.1       au5.g13858_t1            Au9.Cre07.g321200.t1     Cre07.g321200.t1.2       
Cre07.g321550.t1.2       jgi|Chlre3|187531        XM_001700802             jgi|Chlre4|187531        Cre07.g321550.t1.1       au5.g13865_t1            Au9.Cre07.g321550.t1     Cre07.g321550.t1.2       
Cre07.g325700.t1.2       jgi|Chlre3|188544        XM_001690433             --                       Cre07.g325700.t1.1       au5.g13950_t1            Au9.Cre07.g325700.t1     Cre07.g325700.t1.2       
Cre07.g325738.t1.1       jgi|Chlre3|108444        XM_001702813             jgi|Chlre4|108444        Cre26.g773200.t1.1       au5.g9994_t1             Au9.Cre26.g773200.t1     g7553.t1                 
Cre07.g335150.t1.1       jgi|Chlre3|121606        XM_001700052             jgi|Chlre4|121606        Cre07.g335150.t1.2       au5.g14140_t1            Au9.Cre07.g335150.t1     Cre07.g335150.t1.3       
Cre07.g341800.t1.2       jgi|Chlre3|101275        XM_001692357             jgi|Chlre4|378911        Cre07.g341800.t1.1       au5.g14271_t1            Au9.Cre07.g341800.t1     Cre07.g341800.t1.2       
Cre07.g354500.t1.1       jgi|Chlre3|122706        XM_001702019             jgi|Chlre4|328067        Cre07.g354500.t1.2       au5.g14522_t1            Au9.Cre07.g354500.t1     Cre07.g354500.t1.3       
Cre08.g371052.t1.1       jgi|Chlre3|107654        --                       jgi|Chlre4|421717        Cre08.g371100.t1.2       au5.g14883_t1            Au9.Cre08.g371050.t1     g8693.t1                 
Cre08.g371052.t2.1       jgi|Chlre3|107654        --                       jgi|Chlre4|421717        Cre08.g371100.t1.2       au5.g14883_t1            Au9.Cre08.g371050.t1     g8693.t2                 
Cre09.g387150.t1.2       jgi|Chlre3|117914        XM_001694368             jgi|Chlre4|422722        Cre09.g387150.t1.1       au5.g15219_t1            Au9.Cre09.g387150.t1     Cre09.g387150.t1.2       
Cre09.g387850.t1.2       jgi|Chlre3|195918        XM_001694482             jgi|Chlre4|195918        Cre09.g387850.t1.1       au5.g15233_t1            Au9.Cre09.g387850.t1     Cre09.g387850.t1.2       
Cre09.g390430.t1.1       jgi|Chlre3|174174        XM_001694892             jgi|Chlre4|174174        Cre02.g125800.t1.2       au5.g9316_t1             Au9.Cre02.g125800.t1     g9668.t1                 
Cre09.g400441.t1.1       jgi|Chlre3|120259        XM_001697578             jgi|Chlre4|411707        Cre02.g137750.t1.2       au5.g9551_t1             Au9.Cre02.g137750.t1     g9963.t1                 
Cre09.g402350.t1.2       jgi|Chlre3|191829        XM_001695064             jgi|Chlre4|191829        Cre09.g402350.t1.1       au5.g15520_t1            Au9.Cre09.g402350.t1     Cre09.g402350.t1.2       
Cre09.g410450.t1.2       jgi|Chlre3|130971        XM_001696643             jgi|Chlre4|130971        Cre09.g410475.t1.1       au5.g15684_t1            Au9.Cre09.g410450.t1     g10169.t1                
Cre10.g430950.t1.1       jgi|Chlre3|111277        XM_001702455             jgi|Chlre4|206677        Cre10.g430950.t1.2       au5.g267_t1              Au9.Cre10.g430950.t1     Cre10.g430950.t1.3       
Cre10.g464350.t1.2       jgi|Chlre3|168290        XM_001698568             jgi|Chlre4|168290        Cre10.g464350.t1.1       au5.g919_t1              Au9.Cre10.g464350.t1     Cre10.g464350.t1.2       
Cre10.g464350.t2.1       jgi|Chlre3|168290        XM_001698568             jgi|Chlre4|168290        Cre10.g464350.t1.1       au5.g919_t1              Au9.Cre10.g464350.t1     Cre10.g464350.t2.1       
Cre11.g467581.t1.1       jgi|Chlre3|179289        XM_001701350             --                       Cre18.g749350.t1.1       au5.g8037_t1             Au9.Cre18.g749350.t1     g11511.t2                
Cre11.g467581.t2.1       jgi|Chlre3|179289        XM_001701350             --                       Cre18.g749350.t1.1       au5.g8037_t1             Au9.Cre18.g749350.t1     g11511.t1                
Cre11.g467678.t1.1       jgi|Chlre3|193299        XM_001698737             jgi|Chlre4|193299        Cre18.g744950.t1.2       au5.g7949_t1             Au9.Cre18.g744950.t1     g11608.t1                
Cre11.g469400.t1.2       jgi|Chlre3|152660        XM_001699500             jgi|Chlre4|152660        Cre11.g469400.t1.1       au5.g2460_t1             Au9.Cre11.g469400.t1     Cre11.g469400.t1.2       
Cre11.g480950.t1.2       jgi|Chlre3|192899        XM_001697339             jgi|Chlre4|192899        Cre11.g480950.t1.1       au5.g2697_t1             Au9.Cre11.g480950.t1     Cre11.g480950.t1.2       
Cre11.g481050.t1.2       jgi|Chlre3|151215        XM_001697342             jgi|Chlre4|151215        Cre11.g481050.t1.1       au5.g2699_t1             Au9.Cre11.g481050.t1     Cre11.g481050.t1.2       
Cre12.g485950.t1.2       jgi|Chlre3|188711        XM_001690838             jgi|Chlre4|188711        Cre12.g485950.t1.1       au5.g2798_t1             Au9.Cre12.g485950.t1     Cre12.g485950.t1.2       
Cre12.g507500.t1.1       jgi|Chlre3|188627        XM_001690786             jgi|Chlre4|284839        Cre12.g507500.t1.2       au5.g3224_t1             Au9.Cre12.g507500.t1     Cre12.g507500.t1.3       
Cre12.g508150.t1.2       jgi|Chlre3|135484        XM_001690973             jgi|Chlre4|135484        Cre12.g508150.t1.1       au5.g3237_t1             Au9.Cre12.g508150.t1     Cre12.g508150.t1.2       
Cre12.g516050.t1.2       jgi|Chlre3|160281        XM_001703161             jgi|Chlre4|185995        Cre12.g516050.t1.1       au5.g3392_t1             Au9.Cre12.g516050.t1     Cre12.g516050.t1.2       
Cre12.g523000.t1.1       jgi|Chlre3|192634        XM_001696978             jgi|Chlre4|397539        Cre12.g523000.t1.2       au5.g3526_t1             Au9.Cre12.g523000.t1     g12879.t1                
Cre12.g523026.t1.1       jgi|Chlre3|192634        XM_001696978             --                       --                       au5.g3526_t1             Au9.Cre12.g523000.t1     g12880.t1                
Cre12.g534100.t1.1       jgi|Chlre3|190315        XM_001692847             jgi|Chlre4|399546        Cre12.g534100.t1.2       au5.g3745_t1             Au9.Cre12.g534100.t1     Cre12.g534100.t1.2       
Cre12.g534151.t1.1       jgi|Chlre3|190315        XM_001692847             jgi|Chlre4|399546        Cre12.g534150.t1.2       au5.g3746_t1             Au9.Cre12.g534150.t1     Cre12.g534150.t1.3       
Cre12.g534450.t1.1       jgi|Chlre3|190311        XM_001692945             jgi|Chlre4|285401        Cre12.g534450.t1.2       au5.g3752_t1             Au9.Cre12.g534450.t1     Cre12.g534450.t1.3       
Cre12.g537671.t1.1       jgi|Chlre3|13217         XM_001692812             jgi|Chlre4|13217         Cre65.g793250.t1.1       au5.g13656_t1            Au9.Cre65.g793250.t1     g13222.t1                
Cre12.g548250.t1.1       jgi|Chlre3|173312        XM_001694060             jgi|Chlre4|399852        Cre12.g548250.t1.2       au5.g4029_t1             Au9.Cre12.g548250.t1     Cre12.g548250.t2.1       
Cre12.g548250.t2.1       jgi|Chlre3|173312        XM_001694060             jgi|Chlre4|399852        Cre12.g548250.t1.2       au5.g4029_t1             Au9.Cre12.g548250.t1     Cre12.g548250.t1.3       
Cre12.g556400.t1.1       jgi|Chlre3|117655        XM_001693999             jgi|Chlre4|117655        Cre12.g556400.t1.2       au5.g4193_t1             Au9.Cre12.g556400.t1     Cre12.g556400.t1.3       
Cre12.g557300.t1.1       jgi|Chlre3|180245        XM_001702800             jgi|Chlre4|285889        Cre12.g557300.t1.2       au5.g4211_t1             Au9.Cre12.g557300.t1     Cre12.g557300.t1.3       
Cre12.g557350.t1.2       jgi|Chlre3|180245        XM_001702800             jgi|Chlre4|398386        Cre12.g557350.t1.1       au5.g4212_t1             Au9.Cre12.g557350.t1     g13382.t1                
Cre12.g561100.t1.1       jgi|Chlre3|180470        XM_001703071             jgi|Chlre4|400146        Cre12.g561100.t1.2       au5.g4284_t1             Au9.Cre12.g561100.t1     Cre12.g561100.t1.3       
Cre13.g562400.t1.2       jgi|Chlre3|168369        XM_001693601             jgi|Chlre4|8922          Cre13.g562400.t1.1       au5.g4310_t1             Au9.Cre13.g562400.t1     Cre13.g562400.t1.2       
Cre13.g571200.t1.1       jgi|Chlre3|93901         XM_001693678             jgi|Chlre4|93901         Cre13.g571200.t1.2       au5.g4488_t1             Au9.Cre13.g571200.t1     Cre13.g571200.t1.3       
Cre13.g590350.t1.2       jgi|Chlre3|147286        XM_001693015             jgi|Chlre4|147286        Cre13.g590350.t1.1       au5.g4868_t1             Au9.Cre13.g590350.t1     Cre13.g590350.t1.2       
Cre13.g602750.t1.2       jgi|Chlre3|177657        XM_001699054             jgi|Chlre4|402116        Cre13.g602750.t1.1       au5.g5114_t1             Au9.Cre13.g602750.t1     g14565.t1                
Cre14.g612100.t1.1       jgi|Chlre3|177573        XM_001698921             jgi|Chlre4|177573        Cre14.g612100.t1.2       au5.g5302_t1             Au9.Cre14.g612100.t1     Cre14.g612100.t1.3       
Cre14.g614400.t1.1       jgi|Chlre3|177618        XM_001698945             jgi|Chlre4|177618        Cre14.g614400.t1.1       au5.g5349_t1             Au9.Cre14.g614400.t1     Cre14.g614400.t1.1       
Cre14.g620850.t1.2       jgi|Chlre3|183777        XM_001690259             jgi|Chlre4|183777        Cre14.g620850.t1.1       au5.g5478_t1             Au9.Cre14.g620850.t1     Cre14.g620850.t1.2       
Cre15.g635100.t1.2       jgi|Chlre3|194168        XM_001700543             jgi|Chlre4|194168        Cre15.g635100.t1.1       au5.g5760_t1             Au9.Cre15.g635100.t1     Cre15.g635100.t1.2       
Cre16.g650400.t1.1       jgi|Chlre3|106059        XM_001698195             jgi|Chlre4|106059        Cre16.g650400.t1.2       au5.g6069_t1             Au9.Cre16.g650400.t1     Cre16.g650400.t1.3       
Cre16.g671900.t1.1       jgi|Chlre3|34069         XM_001695856             jgi|Chlre4|34069         Cre16.g671900.t1.1       au5.g6491_t1             Au9.Cre16.g671900.t1     Cre16.g671900.t1.1       
Cre16.g672300.t1.2       jgi|Chlre3|184386        XM_001695861             jgi|Chlre4|184386        Cre16.g672300.t1.1       au5.g6499_t1             Au9.Cre16.g672300.t1     Cre16.g672300.t1.2       
Cre16.g672400.t1.2       jgi|Chlre3|149109        XM_001695752             jgi|Chlre4|149109        Cre16.g672400.t1.1       au5.g6501_t1             Au9.Cre16.g672400.t1     Cre16.g672400.t1.2       
Cre16.g675100.t1.1       jgi|Chlre3|149159        XM_001695780             jgi|Chlre4|404769        Cre16.g675100.t1.2       au5.g6553_t1             Au9.Cre16.g675100.t1     g16616.t1                
Cre16.g675246.t1.1       jgi|Chlre3|193681        XM_001699160             jgi|Chlre4|193681        Cre01.g063450.t1.1       au5.g2230_t1             Au9.Cre01.g063450.t1     g16129.t1                
Cre16.g675700.t1.1       jgi|Chlre3|95196         XM_001695790             jgi|Chlre4|95196         Cre16.g675700.t1.2       au5.g6566_t1             Au9.Cre16.g675700.t1     Cre16.g675700.t1.3       
Cre16.g677382.t1.1       jgi|Chlre3|106655        XM_001699156             jgi|Chlre4|376768        Cre01.g063750.t1.1       au5.g2235_t1             Au9.Cre01.g063750.t1     g16135.t1                
Cre16.g677382.t2.1       jgi|Chlre3|106655        XM_001699156             jgi|Chlre4|376768        Cre01.g063750.t1.1       au5.g2235_t1             Au9.Cre01.g063750.t1     g16135.t2                
Cre16.g680232.t1.1       jgi|Chlre3|193672        XM_001699217             jgi|Chlre4|193672        Cre01.g064050.t1.2       au5.g2241_t1             Au9.Cre01.g064050.t1     g16143.t1                
Cre16.g680588.t1.1       jgi|Chlre3|193672        XM_001699217             jgi|Chlre4|193672        Cre01.g064100.t1.1       au5.g2242_t1             Au9.Cre01.g064100.t1     g16144.t1                
Cre16.g692500.t1.1       jgi|Chlre3|106739        XM_001699245             jgi|Chlre4|106739        Cre16.g692500.t1.2       au5.g6902_t1             Au9.Cre16.g692500.t1     g15628.t1                
Cre17.g698233.t1.1       jgi|Chlre3|115254        XM_001691578             jgi|Chlre4|115254        Cre17.g698250.t1.1       au5.g7012_t1             Au9.Cre17.g698250.t1     g16933.t1                
Cre17.g702650.t1.1       jgi|Chlre3|145251        XM_001691538             jgi|Chlre4|145251        Cre17.g702650.t1.1       au5.g7094_t1             Au9.Cre17.g702650.t1     Cre17.g702650.t1.1       
Cre17.g709550.t1.2       jgi|Chlre3|170309        XM_001691484             jgi|Chlre4|170309        Cre17.g709550.t1.1       au5.g7236_t1             Au9.Cre17.g709550.t1     Cre17.g709550.t1.2       
Cre17.g732901.t1.2       jgi|Chlre3|153832        XM_001701466             jgi|Chlre4|153832        Cre17.g732901.t1.1       au5.g7703_t2             Au9.Cre17.g732900.t1     Cre17.g732901.t1.2       
Cre17.g739450.t1.1       jgi|Chlre3|135809        XM_001691607             jgi|Chlre4|135809        Cre17.g739450.t1.2       au5.g7834_t1             Au9.Cre17.g739450.t1     Cre17.g739450.t1.3       
Cre17.g742700.t1.1       jgi|Chlre3|153371        XM_001701046             jgi|Chlre4|153371        Cre17.g742700.t1.2       au5.g7899_t1             Au9.Cre17.g742700.t1     Cre17.g742700.t1.3       
Cre17.g742700.t2.1       jgi|Chlre3|153371        XM_001701046             jgi|Chlre4|153371        Cre17.g742700.t1.2       au5.g7899_t1             Au9.Cre17.g742700.t1     Cre17.g742700.t2.1       
